totalBox, splitTotalBox, queryDate
36761.4,34172.4,2018-01-01
totalBox, splitTotalBox, queryDate
16380.0,15214.8,2018-01-02
totalBox, splitTotalBox, queryDate
16348.6,15183.1,2018-01-03
totalBox, splitTotalBox, queryDate
16569.1,15366.0,2018-01-04
totalBox, splitTotalBox, queryDate
24484.3,22767.7,2018-01-05
totalBox, splitTotalBox, queryDate
35181.5,32774.4,2018-01-06
totalBox, splitTotalBox, queryDate
30353.6,28307.2,2018-01-07
totalBox, splitTotalBox, queryDate
13680.5,12722.9,2018-01-08
totalBox, splitTotalBox, queryDate
11511.5,10717.2,2018-01-09
totalBox, splitTotalBox, queryDate
9922.3,9251.6,2018-01-10
totalBox, splitTotalBox, queryDate
8966.7,8367.2,2018-01-11
totalBox, splitTotalBox, queryDate
19617.5,18442.9,2018-01-12
totalBox, splitTotalBox, queryDate
25325.1,23709.6,2018-01-13
totalBox, splitTotalBox, queryDate
21724.2,20165.7,2018-01-14
totalBox, splitTotalBox, queryDate
10314.2,9558.3,2018-01-15
totalBox, splitTotalBox, queryDate
10045.9,9346.2,2018-01-16
totalBox, splitTotalBox, queryDate
9806.2,9094.1,2018-01-17
totalBox, splitTotalBox, queryDate
9981.1,9273.5,2018-01-18
totalBox, splitTotalBox, queryDate
17244.4,16296.5,2018-01-19
totalBox, splitTotalBox, queryDate
24240.6,22649.9,2018-01-20
totalBox, splitTotalBox, queryDate
21209.3,19739.6,2018-01-21
totalBox, splitTotalBox, queryDate
9594.4,8856.5,2018-01-22
totalBox, splitTotalBox, queryDate
9226.5,8585.9,2018-01-23
totalBox, splitTotalBox, queryDate
8763.4,8120.9,2018-01-24
totalBox, splitTotalBox, queryDate
8294.8,7685.1,2018-01-25
totalBox, splitTotalBox, queryDate
13278.2,12408.8,2018-01-26
totalBox, splitTotalBox, queryDate
17790.3,16572.3,2018-01-27
totalBox, splitTotalBox, queryDate
16688.5,15498.7,2018-01-28
totalBox, splitTotalBox, queryDate
7656.9,7098.1,2018-01-29
totalBox, splitTotalBox, queryDate
7275.0,6753.0,2018-01-30
