movieId, movieName, boxInfo, sumBoxInfo, avgShowView, boxRate, showInfo, avgSeatView, date
344929,前任3：再见前任,12407.49,4.19亿,55,33.7%,64915,41.6%,2018-01-01
1170264,芳华,6303.12,12.50亿,39,17.1%,46608,26.5%,2018-01-01
1200984,妖铃铃,5014.68,3.01亿,26,13.6%,57556,21.4%,2018-01-01
368135,二代妖精之今生有幸,3737.35,2.07亿,24,10.1%,44035,21.5%,2018-01-01
343945,解忧杂货店,3228.67,1.84亿,23,8.7%,44317,21.1%,2018-01-01
345862,妖猫传,2125.96,4.90亿,32,5.7%,18066,25.2%,2018-01-01
342068,寻梦环游记,2106.45,11.74亿,41,5.7%,15587,36.3%,2018-01-01
655258,机器之血,566.10,2.97亿,29,1.5%,5450,27.1%,2018-01-01
343905,帕丁顿熊2,329.81,2.01亿,41,0.8%,2493,42.9%,2018-01-01
1197732,心理罪之城市之光,289.74,2.16亿,23,0.7%,3511,25.3%,2018-01-01
1212450,小猫巴克里,286.67,937.5万,20,0.7%,5049,20.1%,2018-01-01
1211570,咕噜咕噜美人鱼2,241.05,834.4万,16,0.6%,5934,17.8%,2018-01-01
337443,至爱梵高·星空之谜,59.93,6691.7万,27,0.1%,652,30.6%,2018-01-01
344183,奇门遁甲,13.95,2.99亿,8,<0.1%,523,13.4%,2018-01-01
1204720,妈妈咪鸭,12.63,12.6万,140,<0.1%,26,100%,2018-01-01
346625,至暗时刻,8.26,3680.7万,37,<0.1%,46,48.4%,2018-01-01
1135401,咖啡风暴,5.40,5.4万,78,<0.1%,14,57.2%,2018-01-01
342568,诡梦凶铃,4.13,447.8万,169,<0.1%,6,100%,2018-01-01
341195,正义联盟,3.29,6.90亿,18,<0.1%,37,32.5%,2018-01-01
1212376,惊魂七夜,2.42,64.0万,9,<0.1%,105,9.5%,2018-01-01
342362,相声大电影之我要幸福,2.07,1785.5万,86,<0.1%,11,100%,2018-01-01
344422,东方快车谋杀案,2.01,2.30亿,26,<0.1%,16,39.5%,2018-01-01
1208145,笔仙咒怨,1.56,571.6万,4,<0.1%,184,9.5%,2018-01-01
618704,七十七天,1.27,1.03亿,28,<0.1%,12,40.1%,2018-01-01
342109,咕噜咕噜美人鱼,1.01,1392.5万,12,<0.1%,33,11.2%,2018-01-01
344929,前任3：再见前任,9374.17,5.12亿,41,57.2%,66892,29.2%,2018-01-02
1170264,芳华,2066.77,12.71亿,14,12.6%,44033,9.8%,2018-01-02
1200984,妖铃铃,1515.11,3.16亿,9,9.2%,51190,7.5%,2018-01-02
368135,二代妖精之今生有幸,1352.49,2.20亿,10,8.2%,40348,8.6%,2018-01-02
343945,解忧杂货店,846.04,1.93亿,7,5.1%,38832,6.2%,2018-01-02
345862,妖猫传,629.60,4.96亿,11,3.8%,16807,8.3%,2018-01-02
342068,寻梦环游记,192.83,11.76亿,7,1.1%,8261,6.4%,2018-01-02
655258,机器之血,179.06,2.99亿,9,1.0%,5988,8.0%,2018-01-02
1197732,心理罪之城市之光,126.09,2.18亿,9,0.7%,3994,9.6%,2018-01-02
343905,帕丁顿熊2,27.96,2.02亿,7,0.1%,1322,6.9%,2018-01-02
337443,至爱梵高·星空之谜,16.04,6707.8万,9,<0.1%,549,10.4%,2018-01-02
1212450,小猫巴克里,11.32,948.9万,2,<0.1%,1997,2.0%,2018-01-02
1211570,咕噜咕噜美人鱼2,8.98,843.4万,2,<0.1%,2045,1.8%,2018-01-02
1135401,咖啡风暴,6.83,12.3万,70,<0.1%,20,74.3%,2018-01-02
344183,奇门遁甲,6.36,2.99亿,4,<0.1%,568,5.1%,2018-01-02
344661,邹碧华,4.86,311.9万,55,<0.1%,17,55.1%,2018-01-02
342568,诡梦凶铃,2.93,450.7万,166,<0.1%,5,85.7%,2018-01-02
346625,至暗时刻,2.71,3683.5万,17,<0.1%,37,21.5%,2018-01-02
1212376,惊魂七夜,1.66,65.7万,5,<0.1%,130,5.2%,2018-01-02
1206402,圣诞奇妙公司,1.01,488.8万,9,<0.1%,34,17.0%,2018-01-02
344929,前任3：再见前任,10912.91,6.22亿,41,66.7%,77358,28.9%,2018-01-03
1170264,芳华,1639.19,12.88亿,12,10.0%,43279,8.1%,2018-01-03
368135,二代妖精之今生有幸,1084.71,2.31亿,9,6.6%,38100,7.3%,2018-01-03
1200984,妖铃铃,1053.34,3.27亿,7,6.4%,46640,5.9%,2018-01-03
343945,解忧杂货店,646.70,1.99亿,6,3.9%,34102,5.5%,2018-01-03
345862,妖猫传,509.89,5.01亿,9,3.1%,16481,6.9%,2018-01-03
342068,寻梦环游记,156.02,11.77亿,7,0.9%,7612,5.6%,2018-01-03
655258,机器之血,145.26,3.00亿,7,0.8%,6103,6.4%,2018-01-03
1197732,心理罪之城市之光,101.46,2.19亿,8,0.6%,4002,7.7%,2018-01-03
343905,帕丁顿熊2,21.84,2.02亿,6,0.1%,1233,5.8%,2018-01-03
344661,邹碧华,21.21,333.1万,88,0.1%,46,100%,2018-01-03
337443,至爱梵高·星空之谜,14.13,6721.9万,7,<0.1%,592,7.9%,2018-01-03
1135401,咖啡风暴,8.41,20.7万,76,<0.1%,26,78.2%,2018-01-03
1212450,小猫巴克里,7.36,956.2万,2,<0.1%,1630,1.6%,2018-01-03
344183,奇门遁甲,5.06,2.99亿,3,<0.1%,577,4.0%,2018-01-03
1211570,咕噜咕噜美人鱼2,5.04,848.4万,2,<0.1%,1603,1.3%,2018-01-03
346625,至暗时刻,3.16,3686.6万,14,<0.1%,51,17.8%,2018-01-03
342568,诡梦凶铃,2.64,453.4万,122,<0.1%,6,75.7%,2018-01-03
1203120,巨额来电,2.23,5579.9万,38,<0.1%,54,68.0%,2018-01-03
